Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Rent
Centre-point,Apr 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Apr 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Centre-point,Aug 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Aug 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Centre-point,Dec 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Dec 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Centre-point,Feb 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,93864
Centre-point,Feb 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Jan 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,93864
Centre-point,Jan 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Jul 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Jul 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Centre-point,Jun 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Jun 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Centre-point,Mar 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,93864
Centre-point,Mar 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,May 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,May 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Centre-point,Nov 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Nov 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Centre-point,Oct 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Oct 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Centre-point,Sep 2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,101934
Centre-point,Sep 2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,103200
Marks & Spencer,Apr 2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,97819
Marks & Spencer,Apr 2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,104409
Marks & Spencer,Aug 2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,99432
Marks & Spencer,Aug 2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,104409
