Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Sales
Centre-point,4/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,767999
Centre-point,4/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,722150
Centre-point,8/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,579911
Centre-point,8/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,518112
Centre-point,12/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,639251
Centre-point,12/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,535552
Centre-point,2/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,413504
Centre-point,2/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,394373
Centre-point,1/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,485604
Centre-point,1/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,459680
Centre-point,7/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,591359
Centre-point,7/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,578616
Centre-point,6/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,616051
Centre-point,6/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,604775
Centre-point,3/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,481932
Centre-point,3/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,420065
Centre-point,5/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,701980
Centre-point,5/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,535354
Centre-point,11/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,606695
Centre-point,11/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,514715
Centre-point,10/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,499825
Centre-point,10/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,343997
Centre-point,9/1/2017,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,509151
Centre-point,9/1/2018,,Ground Floor,10/4/2019,Landmark Group,Department Stores,t0000760,L0-003,1949,503478
Marks & Spencer,4/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,354986
Marks & Spencer,4/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,359035
Marks & Spencer,8/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,323727
Marks & Spencer,8/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,353338
Marks & Spencer,12/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,443434
Marks & Spencer,12/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,439729
Marks & Spencer,2/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,199412
Marks & Spencer,2/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,217325
Marks & Spencer,1/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,298195
Marks & Spencer,1/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,337324
Marks & Spencer,7/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,426016
Marks & Spencer,7/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,346237
Marks & Spencer,6/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,333536
Marks & Spencer,6/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,322326
Marks & Spencer,3/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,264735
Marks & Spencer,3/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,287004
Marks & Spencer,5/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,296540
Marks & Spencer,5/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,282868
Marks & Spencer,11/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,402746
Marks & Spencer,11/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,374417
Marks & Spencer,10/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,306620
Marks & Spencer,10/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,270303
Marks & Spencer,9/1/2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,240450
Marks & Spencer,9/1/2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,240394
MUMUSO,4/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,4/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,8/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,8/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,12/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,12/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,82600
MUMUSO,2/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,2/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,1/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,1/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,7/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,7/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,6/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,6/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,3/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,3/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,5/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,5/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,11/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,11/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,64808
MUMUSO,10/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,10/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,217343
MUMUSO,9/1/2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,9/1/2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
Virgin Mega Store,4/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,145213
Virgin Mega Store,4/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,181563
Virgin Mega Store,8/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,232420
Virgin Mega Store,8/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,220193
Virgin Mega Store,12/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,492199
Virgin Mega Store,12/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,451982
Virgin Mega Store,2/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,159942
Virgin Mega Store,2/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,183028
Virgin Mega Store,1/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,202538
Virgin Mega Store,1/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,197039
Virgin Mega Store,7/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,252010
Virgin Mega Store,7/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,202025
Virgin Mega Store,6/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,200997
Virgin Mega Store,6/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,190763
Virgin Mega Store,3/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,165413
Virgin Mega Store,3/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,161716
Virgin Mega Store,5/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,132927
Virgin Mega Store,5/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,157004
Virgin Mega Store,11/1/2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,186597
Virgin Mega Store,11/1/2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,151949
